Name,Mean (ps),2*Stdev (ps)
All.config.Parse,39021067600,3031762928
All.config.Process.process,2722141412,143405412
All.config.Process.Export.html.export,159614359400,6297960142
All.config.Process.Export.html.render.render,1730125718,147106578
All.config.Process.Export.md.export,108419337300,2548007956
All.config.Process.Export.md.render.render,410768689,28265520
All.config.Process.Export.tex.export,52783477100,3147149626
All.config.Process.Export.tex.render.render,106205838500,2512305106
All.diagramas.Parse,19252348600,1912887730
All.diagramas.Process.process,1275592303,82426622
All.diagramas.Process.Export.html.export,33021328950,1155194530
All.diagramas.Process.Export.html.render.render,319007339,21307638
All.diagramas.Process.Export.md.export,47099573600,3057184338
All.diagramas.Process.Export.md.render.render,181065551,12232328
All.diagramas.Process.Export.tex.export,21078764800,1330461452
All.diagramas.Process.Export.tex.render.render,4106936100,191300142
